time_iso,elapsed_s,V_mV,I_mA,T_0p1C
2026-09-04T11:23:16.356,0.000,4073,13,239
2026-09-04T11:23:16.556,0.200,4073,11,239
2026-09-04T11:23:16.756,0.400,4073,14,239
2026-09-04T11:23:16.956,0.599,4073,12,239
2026-09-04T11:23:17.155,0.799,4075,13,239
2026-09-04T11:23:17.355,0.999,4073,14,239
2026-09-04T11:23:17.555,1.199,4073,13,239
2026-09-04T11:23:17.755,1.399,4072,13,239
2026-09-04T11:23:17.955,1.598,4073,14,239
2026-09-04T11:23:18.154,1.798,4073,15,239
2026-09-04T11:23:18.354,1.998,4072,14,239
2026-09-04T11:23:18.554,2.198,4073,15,239
2026-09-04T11:23:18.754,2.397,4072,13,239
2026-09-04T11:23:18.953,2.597,4073,12,239
2026-09-04T11:23:19.153,2.797,4073,13,239
2026-09-04T11:23:19.353,2.997,4073,13,239
2026-09-04T11:23:19.553,3.196,4073,12,239
2026-09-04T11:23:19.753,3.396,4072,14,239
2026-09-04T11:23:19.952,3.596,4073,12,238
2026-09-04T11:23:20.152,3.796,4073,13,239
2026-09-04T11:23:20.352,3.996,4073,15,239
2026-09-04T11:23:20.552,4.195,4073,12,239
2026-09-04T11:23:20.751,4.395,4073,15,239
2026-09-04T11:23:20.951,4.595,4073,13,239
2026-09-04T11:23:21.151,4.795,4073,16,239
2026-09-04T11:23:21.351,4.995,4073,13,240
2026-09-04T11:23:21.551,5.194,4073,15,239
2026-09-04T11:23:21.750,5.394,4075,13,239
2026-09-04T11:23:21.950,5.594,4073,12,239
2026-09-04T11:23:22.150,5.794,4073,13,240
2026-09-04T11:23:22.350,5.993,4073,12,239
2026-09-04T11:23:22.549,6.193,4073,13,239
2026-09-04T11:23:22.749,6.393,4073,14,239
2026-09-04T11:23:22.949,6.593,4073,13,240
2026-09-04T11:23:23.149,6.793,4073,13,239
2026-09-04T11:23:23.349,6.992,4073,14,240
2026-09-04T11:23:23.548,7.192,4073,13,239
2026-09-04T11:23:23.748,7.392,4073,13,240
2026-09-04T11:23:23.948,7.592,4073,15,240
2026-09-04T11:23:24.148,7.792,4072,14,240
2026-09-04T11:23:24.348,7.991,4073,12,239
2026-09-04T11:23:24.548,8.191,4073,13,240
2026-09-04T11:23:24.748,8.391,4073,13,240
2026-09-04T11:23:24.947,8.591,4073,11,240
2026-09-04T11:23:25.147,8.791,4073,14,240
2026-09-04T11:23:25.347,8.990,4073,12,240
2026-09-04T11:23:25.547,9.190,4073,13,239
2026-09-04T11:23:25.746,9.390,4073,13,240
2026-09-04T11:23:25.946,9.590,4072,13,240
2026-09-04T11:23:26.146,9.790,4073,14,240
2026-09-04T11:23:26.345,9.989,4073,15,240
2026-09-04T11:23:26.546,10.190,4075,13,240
2026-09-04T11:23:26.745,10.389,4075,15,240
2026-09-04T11:23:26.945,10.589,4073,13,240
2026-09-04T11:23:27.145,10.789,4073,15,241
2026-09-04T11:23:27.345,10.988,4073,12,240
2026-09-04T11:23:27.544,11.188,4073,15,241
2026-09-04T11:23:27.744,11.388,4075,12,240
2026-09-04T11:23:27.944,11.588,4073,14,241
2026-09-04T11:23:28.144,11.788,4073,12,240
2026-09-04T11:23:28.344,11.988,4073,13,240
2026-09-04T11:23:28.544,12.188,4073,13,240
2026-09-04T11:23:28.743,12.387,4073,15,240
2026-09-04T11:23:28.944,12.587,4073,13,240
2026-09-04T11:23:29.143,12.787,4073,14,240
2026-09-04T11:23:29.343,12.987,4073,12,240
2026-09-04T11:23:29.543,13.187,4073,14,240
2026-09-04T11:23:29.742,13.386,4073,14,241
2026-09-04T11:23:29.942,13.586,4073,14,240
2026-09-04T11:23:30.142,13.786,4073,14,241
2026-09-04T11:23:30.342,13.986,4072,14,240
2026-09-04T11:23:30.542,14.185,4073,12,241
2026-09-04T11:23:30.742,14.386,4073,11,240
2026-09-04T11:23:30.941,14.585,4073,14,241
2026-09-04T11:23:31.141,14.785,4073,12,240
2026-09-04T11:23:31.341,14.985,4073,13,240
2026-09-04T11:23:31.541,15.185,4075,14,240
2026-09-04T11:23:31.741,15.384,4073,12,241
2026-09-04T11:23:31.941,15.584,4072,13,240
2026-09-04T11:23:32.140,15.784,4072,14,241
2026-09-04T11:23:32.340,15.984,4073,13,240
2026-09-04T11:23:32.540,16.184,4072,14,240
2026-09-04T11:23:32.740,16.384,4073,15,241
2026-09-04T11:23:32.940,16.583,4073,13,241
2026-09-04T11:23:33.140,16.784,4072,12,241
2026-09-04T11:23:33.339,16.983,4073,13,240
2026-09-04T11:23:33.539,17.183,4073,12,241
2026-09-04T11:23:33.739,17.383,4073,12,241
2026-09-04T11:23:33.939,17.583,4073,14,241
2026-09-04T11:23:34.139,17.783,4073,12,241
2026-09-04T11:23:34.339,17.983,4072,13,241
2026-09-04T11:23:34.539,18.182,4073,12,240
2026-09-04T11:23:34.739,18.382,4073,13,241
2026-09-04T11:23:34.939,18.583,4073,13,241
2026-09-04T11:23:35.138,18.782,4073,15,241
2026-09-04T11:23:35.338,18.982,4073,13,241
2026-09-04T11:23:35.538,19.181,4073,15,241
2026-09-04T11:23:35.738,19.382,4072,13,241
2026-09-04T11:23:35.938,19.581,4073,15,241
2026-09-04T11:23:36.137,19.781,4073,11,242
2026-09-04T11:23:36.337,19.981,4073,16,241
2026-09-04T11:23:36.537,20.181,4073,12,241
2026-09-04T11:23:36.737,20.381,4073,15,241
2026-09-04T11:23:36.937,20.581,4073,13,241
2026-09-04T11:23:37.137,20.780,4073,12,242
2026-09-04T11:23:37.337,20.980,4072,13,241
2026-09-04T11:23:37.537,21.181,4073,12,241
2026-09-04T11:23:37.736,21.380,4073,13,242
2026-09-04T11:23:37.936,21.580,4073,14,242
2026-09-04T11:23:38.136,21.780,4073,13,241
2026-09-04T11:23:38.336,21.980,4072,13,242
2026-09-04T11:23:38.536,22.180,4073,14,241
2026-09-04T11:23:38.736,22.379,4075,15,242
2026-09-04T11:23:38.936,22.580,4073,14,241
2026-09-04T11:23:39.135,22.779,4073,14,242
2026-09-04T11:23:39.335,22.979,4073,14,241
2026-09-04T11:23:39.535,23.179,4073,12,241
2026-09-04T11:23:39.735,23.379,4072,13,242
2026-09-04T11:23:39.935,23.579,4073,12,241
2026-09-04T11:23:40.135,23.778,4073,12,242
2026-09-04T11:23:40.334,23.978,4073,14,242
2026-09-04T11:23:40.534,24.178,4073,12,241
2026-09-04T11:23:40.734,24.378,4073,13,241
2026-09-04T11:23:40.934,24.578,4072,12,242
2026-09-04T11:23:41.134,24.777,4073,13,242
2026-09-04T11:23:41.334,24.978,4073,13,242
2026-09-04T11:23:41.534,25.177,4073,15,242
2026-09-04T11:23:41.733,25.377,4072,13,242
2026-09-04T11:23:41.933,25.577,4073,15,242
2026-09-04T11:23:42.133,25.777,4073,14,242
2026-09-04T11:23:42.333,25.977,4073,15,242
2026-09-04T11:23:42.533,26.176,4073,12,241
2026-09-04T11:23:42.733,26.376,4072,15,242
2026-09-04T11:23:42.932,26.576,4073,12,242
2026-09-04T11:23:43.132,26.776,4073,14,242
2026-09-04T11:23:43.332,26.976,4073,12,242
2026-09-04T11:23:43.532,27.176,4073,11,242
2026-09-04T11:23:43.732,27.375,4073,14,242
2026-09-04T11:23:43.932,27.575,4072,14,242
2026-09-04T11:23:44.132,27.775,4073,13,242
2026-09-04T11:23:44.332,27.975,4073,14,242
2026-09-04T11:23:44.531,28.175,4072,13,242
2026-09-04T11:23:44.731,28.375,4073,14,242
