elapsed_s,V_mV,I_mA,soc_ref_pct,soc_mcu_pct,err_pct,err_nobias_pct,state
0.0,4151,0,100.00,98.29,-1.71,+0.00,idle
5.0,4151,0,100.00,98.27,-1.73,-0.02,idle
10.0,4152,0,100.00,98.34,-1.66,+0.05,idle
15.0,4152,0,100.00,98.34,-1.66,+0.05,idle
20.0,4151,0,100.00,98.33,-1.67,+0.04,idle
25.0,4151,0,100.00,98.35,-1.65,+0.06,idle
30.0,4151,0,100.00,98.36,-1.64,+0.07,idle
35.0,4151,0,100.00,98.34,-1.66,+0.05,idle
40.0,4152,0,100.00,98.40,-1.60,+0.11,idle
45.0,4152,0,100.00,98.38,-1.62,+0.09,idle
50.0,4152,0,100.00,98.40,-1.60,+0.11,idle
55.0,4151,0,100.00,98.40,-1.60,+0.11,idle
60.0,4151,0,100.00,98.39,-1.61,+0.10,idle
65.0,4152,0,100.00,98.42,-1.58,+0.13,idle
70.0,4151,0,100.00,98.41,-1.59,+0.12,idle
75.0,4151,0,100.00,98.40,-1.60,+0.11,idle
80.0,4142,98,100.00,98.28,-1.72,-0.01,load
85.0,3991,2003,99.96,96.13,-3.83,-2.12,load
90.0,3976,2002,99.87,94.97,-4.90,-3.19,load
94.9,3966,2002,99.79,94.41,-5.38,-3.67,load
99.9,3958,2002,99.71,94.06,-5.65,-3.94,load
104.9,3953,2003,99.62,93.75,-5.87,-4.16,load
109.9,3948,2002,99.54,93.52,-6.02,-4.31,load
114.9,3943,2003,99.46,93.33,-6.13,-4.42,load
119.9,3940,2003,99.38,93.20,-6.18,-4.47,load
124.9,3937,2002,99.29,93.06,-6.23,-4.52,load
129.9,3933,2002,99.21,92.94,-6.27,-4.56,load
134.9,3932,2002,99.13,92.82,-6.31,-4.60,load
139.9,3930,2002,99.04,92.73,-6.31,-4.60,load
144.9,3927,2004,98.96,92.62,-6.34,-4.63,load
149.9,3925,2003,98.88,92.55,-6.33,-4.62,load
154.9,3923,2003,98.79,92.41,-6.38,-4.67,load
159.9,3921,2003,98.71,92.34,-6.37,-4.66,load
164.9,3920,2003,98.63,92.26,-6.37,-4.66,load
169.9,3918,2003,98.55,92.16,-6.39,-4.68,load
174.9,3917,2003,98.46,92.09,-6.37,-4.66,load
179.9,3916,2003,98.38,92.01,-6.37,-4.66,load
184.9,3915,2003,98.30,91.94,-6.36,-4.65,load
189.9,3913,2003,98.21,91.84,-6.37,-4.66,load
194.9,3913,2003,98.13,91.78,-6.35,-4.64,load
199.9,3912,2003,98.05,91.71,-6.34,-4.63,load
204.9,3911,2003,97.96,91.64,-6.32,-4.61,load
209.9,3908,2002,97.88,91.54,-6.34,-4.63,load
214.9,3908,2003,97.80,91.46,-6.34,-4.63,load
219.9,3908,2002,97.72,91.41,-6.31,-4.60,load
224.9,3907,2002,97.63,91.33,-6.30,-4.59,load
229.9,3907,2002,97.55,91.28,-6.27,-4.56,load
234.9,3906,2002,97.47,91.22,-6.25,-4.54,load
239.9,3905,2002,97.38,91.15,-6.23,-4.52,load
244.9,3905,2003,97.30,91.06,-6.24,-4.53,load
249.9,3903,2002,97.22,90.98,-6.24,-4.53,load
254.9,3903,2002,97.13,90.90,-6.23,-4.52,load
259.9,3902,2002,97.05,90.83,-6.22,-4.51,load
264.9,3901,2003,96.97,90.78,-6.19,-4.48,load
269.9,3901,2003,96.89,90.71,-6.18,-4.47,load
274.9,3900,2002,96.80,90.64,-6.16,-4.45,load
279.9,3900,2003,96.72,90.58,-6.14,-4.43,load
284.9,3898,2002,96.64,90.49,-6.15,-4.44,load
289.8,3898,2003,96.55,90.41,-6.14,-4.43,load
294.8,3898,2003,96.47,90.33,-6.14,-4.43,load
299.8,3897,2003,96.39,90.27,-6.12,-4.41,load
304.8,3897,2003,96.30,90.22,-6.08,-4.37,load
309.8,3896,2002,96.22,90.14,-6.08,-4.37,load
314.8,3896,2003,96.14,90.08,-6.06,-4.35,load
319.8,3896,2003,96.06,90.02,-6.04,-4.33,load
324.8,3895,2003,95.97,89.98,-5.99,-4.28,load
329.8,3895,2003,95.89,89.90,-5.99,-4.28,load
334.8,3893,2003,95.81,89.81,-6.00,-4.29,load
339.8,3893,2003,95.72,89.75,-5.97,-4.26,load
344.8,3893,2002,95.64,89.67,-5.97,-4.26,load
349.8,3893,2002,95.56,89.61,-5.95,-4.24,load
354.8,3892,2003,95.48,89.55,-5.93,-4.22,load
359.8,3892,2003,95.39,89.33,-6.06,-4.35,load
364.8,3891,2002,95.31,89.20,-6.11,-4.40,load
369.8,3891,2003,95.23,89.11,-6.12,-4.41,load
374.8,3890,2003,95.14,89.02,-6.12,-4.41,load
379.8,3890,2003,95.06,88.91,-6.15,-4.44,load
384.8,3890,2003,94.98,88.84,-6.14,-4.43,load
389.8,3890,2002,94.89,88.72,-6.17,-4.46,load
394.8,3888,2002,94.81,88.61,-6.20,-4.49,load
399.8,3888,2002,94.73,88.53,-6.20,-4.49,load
404.8,3887,2002,94.65,88.42,-6.23,-4.52,load
409.8,3887,2002,94.56,88.33,-6.23,-4.52,load
414.8,3886,2002,94.48,88.23,-6.25,-4.54,load
419.8,3886,2002,94.40,88.16,-6.24,-4.53,load
424.8,3886,2002,94.31,88.07,-6.24,-4.53,load
429.8,3886,2003,94.23,87.98,-6.25,-4.54,load
434.8,3883,2002,94.15,87.86,-6.29,-4.58,load
439.8,3883,2003,94.06,87.77,-6.29,-4.58,load
444.8,3883,2002,93.98,87.69,-6.29,-4.58,load
