seg,i_a,t_pulse_s,soc_start,soc_end,soc_mid,dq_mah,q_before_mah,q_after_mah,ocv_before_mv,ocv_after_mv,t_before_s,t_after_s,t_0p1C_before,r0_mohm,r1_mohm,rdc_mohm,tau_s,c1_f,sat,r2,rest_s,rest_tau,temp_c,mcu_soc_start,mcu_soc_end,mcu_soc_tail
1,2.003,881.3,100.0,85.36,92.68,490.26,0.14,490.4,4151.4,4064.2,82.4,1566.9,246.2,64.4,44.6,152.5,108.1,2425.0,1.0,0.942,603.0,5.58,24.2,98.22,80.56,84.91
2,2.002,708.5,85.36,73.59,79.48,394.1,490.51,884.61,4064.2,3932.7,1566.9,2878.3,238.2,65.2,37.3,168.2,85.7,2297.0,1.0,0.9648,602.7,7.03,23.9,84.75,68.87,69.47
3,2.003,638.5,73.59,62.99,68.3,355.17,884.63,1239.8,3932.7,3843.3,2878.3,4119.7,239.8,65.5,40.3,150.2,114.8,2853.0,0.996,0.9675,602.7,5.25,24.1,69.46,58.04,59.81
4,2.003,610.6,62.99,52.85,57.92,339.65,1239.91,1579.57,3843.3,3740.3,4119.7,5333.4,239.8,66.0,43.3,160.0,149.9,3458.0,0.983,0.9693,602.9,4.02,24.0,59.7,47.78,49.29
5,2.003,507.7,52.85,44.41,48.63,282.43,1579.68,1862.11,3740.3,3635.6,5333.4,6444.3,242.4,63.8,44.3,157.8,178.4,4027.0,0.942,0.9508,602.9,3.38,24.2,49.18,39.28,40.5
6,2.003,540.0,44.41,35.44,39.93,300.39,1862.22,2162.61,3635.6,3541.3,6444.3,7587.2,240.8,63.8,39.2,150.0,85.5,2184.0,0.998,0.9771,602.7,7.05,24.2,40.39,32.46,31.82
7,2.003,463.9,35.44,27.74,31.59,258.12,2162.65,2420.78,3541.3,3457.9,7587.2,8654.2,245.4,64.8,47.5,152.8,122.5,2579.0,0.977,0.9717,602.9,4.92,24.3,31.77,27.6,25.71
8,2.002,391.6,27.73,21.23,24.49,217.8,2420.89,2638.69,3457.9,3351.0,8654.2,9648.6,241.2,66.5,59.2,176.4,128.1,2164.0,0.953,0.9717,602.6,4.7,24.3,25.62,19.55,18.71
9,2.003,316.6,21.23,15.98,18.61,176.08,2638.71,2814.79,3351.0,3244.4,9648.6,10568.1,240.6,62.0,79.6,188.3,126.0,1584.0,0.919,0.9663,602.7,4.78,24.0,18.71,13.03,13.03
10,2.003,123.9,15.97,13.92,14.94,68.94,2814.9,2883.84,3244.4,3197.1,10568.1,11333.6,242.8,21.2,205.7,184.6,108.8,529.0,0.68,0.966,641.3,5.89,24.5,12.96,7.99,10.48
